type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	37.782614165	-79.475896800	413.0			
T	37.733776058	-79.482788874	297.0			
T	37.422614625	-79.513911748	289.6			
T	37.230394741	-79.522516604	281.1			
T	37.206009807	-79.522300052	264.1			
T	37.185378010	-79.522618515	227.5			
T	37.121628628	-79.510479755	256.6			
T	37.161400762	-79.468311549	219.1			
T	37.185099309	-79.455406093	224.4			
T	37.400377785	-79.383969092	337.9			
T	37.662679386	-79.371931254	642.9			
T	37.700594650	-79.375973046	321.9			
T	37.733846300	-79.379180838	305.8			
T	37.860371199	-79.413797607	354.1			
T	37.868180362	-79.421347393	416.7			
T	37.830223486	-79.457375488	401.7			
T	37.582504262	-79.504471104	272.7			
T	37.530971115	-79.511137053	1091.2			
T	37.485366943	-79.516723180	759.5			
T	37.237438143	-79.531020490	272.5			
T	37.211207019	-79.530451577	268.2			
T	37.119999032	-79.524401513	257.4			
T	37.093947327	-79.507748284	273.6			
T	37.200407564	-79.424692998	287.9			
T	37.305799243	-79.379639890	242.3			
T	37.542836718	-79.330176199	284.3			
T	37.788634813	-79.336084190	298.0			
T	37.875255817	-79.354550380	504.9			
T	37.920826610	-79.397301836	343.8			
T	37.731055513	-79.447880146	380.0			
T	37.677761183	-79.454539081	286.9			
T	37.381849079	-79.480891560	261.9			
T	37.221528936	-79.475179142	280.3			
T	37.176541226	-79.448786247	260.4			
T	37.174803552	-79.441312831	271.1			
T	37.214125589	-79.387968397	260.9			
T	37.394625529	-79.288170284	243.7			
T	37.436159059	-79.275581497	274.4			
T	37.480038583	-79.262650529	250.8			
T	37.525626342	-79.251677285	248.6			
T	37.568436938	-79.244063624	218.2			
T	37.746147008	-79.232535448	959.8			
T	37.775144887	-79.236419777	738.0			
T	37.796524707	-79.239885321	641.1			
T	37.833426305	-79.275346561	456.6			
T	37.819614847	-79.283210129	535.7			
T	37.800414817	-79.295197323	528.8			
T	37.771792343	-79.303948184	779.5			
T	37.741035337	-79.314728232	440.3			
T	37.511241076	-79.359760556	258.5			
T	37.462237506	-79.364769103	582.9			
T	37.229922189	-79.380585658	258.6			
T	37.203654001	-79.381285482	232.9			
T	37.113005015	-79.360481056	178.3			
