type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	36.685682366	-81.766747395	674.1			
T	37.842157649	-81.703578089	693.5			
T	37.875547081	-81.719475766	491.3			
T	37.279873178	-81.888361483	592.6			
T	36.675965800	-81.791528873	577.7			
T	37.724268619	-81.639924231	701.0			
T	37.313947135	-81.812200138	495.4			
T	36.778019847	-81.780628705	664.0			
T	38.018552224	-81.655612972	504.5			
T	38.191140960	-81.765709815	318.8			
T	37.233888657	-81.841122424	679.6			
T	37.200404457	-81.839710453	687.0			
T	37.656169678	-81.744563511	383.2			
T	38.459688323	-81.630771892	244.4			
T	38.368126933	-81.670728943	174.7			
T	38.134170688	-81.835284473	205.0			
T	38.591659088	-81.489941242	316.8			
T	39.109511983	-81.240573719	293.5			
T	38.602209998	-81.652562079	271.7			
T	38.383951728	-81.711260879	185.9			
T	39.168084239	-81.444088313	247.2			
T	39.205202197	-81.439867045	251.9			
T	38.376890367	-81.757065110	185.6			
T	38.235175821	-81.785120854	350.3			
T	38.595320107	-81.730608810	274.9			
T	38.676043512	-81.716808108	288.6			
T	39.498197375	-81.613829608	252.3			
T	38.927166765	-82.014775904	219.8			
T	38.372902392	-82.019795306	250.5			
T	39.049714367	-81.473832212	253.4			
T	39.056064068	-81.814075106	232.0			
T	38.774758100	-82.124387971	260.7			
T	38.835462402	-81.174911773	239.8			
T	39.116310542	-81.033537621	277.4			
T	38.909088410	-81.983265312	272.8			
T	38.285552081	-81.670532157	272.2			
T	38.749570473	-81.044463453	292.3			
T	38.996990695	-81.531706114	291.8			
T	38.962733863	-81.587240269	312.9			
T	38.141366759	-81.837575851	353.4			
T	38.485473528	-81.238969389	335.9			
T	39.074611138	-81.330413323	330.4			
T	39.057274071	-81.378323547	247.9			
T	38.106762044	-81.936611604	365.5			
T	37.991135045	-81.607897977	511.0			
T	38.982714582	-81.168086510	353.4			
T	38.669410699	-81.826786011	285.8			
T	38.089702692	-82.192177179	194.5			
T	38.171922832	-81.445451823	202.9			
T	38.222192634	-81.394489909	477.3			
T	38.385276820	-81.251725034	438.1			
T	38.438610835	-81.222221914	300.2			
T	38.937675322	-81.644814810	277.6			
T	38.921691255	-81.717404910	185.4			
T	38.054693171	-82.208227228	312.7			
T	38.080093588	-81.467261858	412.6			
T	39.179385188	-80.914526617	291.8			
T	38.800637059	-81.664438630	228.3			
T	38.345649960	-81.688059651	326.9			
T	38.962068806	-80.901832789	287.6			
T	39.381839647	-81.205914267	234.3			
T	38.439318143	-81.842293374	179.1			
T	38.104108302	-81.174869417	396.6			
T	38.995468646	-80.760475407	286.9			
T	38.851091246	-81.634003785	332.1			
T	37.803486061	-81.199804325	740.3			
T	38.447113375	-80.292279321	1038.0			
T	38.533107217	-80.277375432	949.0			
T	38.672428993	-80.832119386	319.8			
T	37.250134451	-80.952435400	962.6			
T	38.285669385	-80.695091370	612.2			
T	38.585152861	-80.987404969	456.2			
T	37.436437539	-80.732976973	568.8			
T	38.880052272	-80.685239358	312.5			
T	38.854252354	-80.712712236	329.6			
T	38.787254026	-80.758444861	317.3			
T	38.672497467	-80.838280323	350.1			
T	38.639871554	-80.857070374	265.5			
T	38.615852612	-80.877251349	350.1			
T	38.583872525	-80.895824600	319.0			
T	38.305984982	-81.044718919	366.8			
T	38.139167884	-81.119585554	513.2			
T	38.082431400	-81.147020025	406.3			
T	37.856753569	-81.229238516	636.2			
T	37.633089968	-81.294074969	600.1			
T	37.557705248	-81.247981394	840.1			
T	37.661045801	-80.982779890	718.9			
T	37.751212040	-80.871459100	689.8			
T	37.796273323	-80.814488680	569.2			
T	37.847786171	-80.763286359	759.8			
T	37.900022210	-80.716949730	757.9			
