type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	37.138424764	-80.349202830	661.8						
T	37.070522195	-80.394363849	594.5						
T	37.031039088	-80.418189269	702.2						
T	37.017877286	-80.426261566	647.4						
T	37.050567395	-80.410512574	691.1						
T	37.130916400	-80.368530441	666.5						
T	37.204777767	-80.324177846	680.0						
T	37.273261879	-80.281930691	772.2						
T	37.285889824	-80.273439770	790.9						
T	37.215117451	-80.317740767	652.2						
T	37.107733284	-80.375976802	667.9						
T	37.075314292	-80.390291187	629.9						
T	37.031162946	-80.407742638	698.3						
T	37.013448011	-80.407176520	691.0						
T	37.063041466	-80.358630647	757.2						
T	37.087101637	-80.341190849	588.9						
T	37.163019701	-80.287385450	573.2						
T	37.195374480	-80.264367856	551.1						
T	37.222516409	-80.245657718	550.9						
T	37.252125781	-80.225002285	592.4						
T	37.258538946	-80.221343906	718.6						
T	37.235051750	-80.242167649	375.5						
T	37.106835006	-80.336078424	583.6						
T	37.041137630	-80.374183995	707.9						
T	37.008158713	-80.391680913	677.0						
T	37.000424700	-80.394814994	712.7						
T	37.146264543	-80.302401204	634.5						
T	37.235112537	-80.240845339	379.2						
T	37.262211590	-80.223426014	769.5						
T	37.153823944	-80.303774060	588.0						
T	37.058363252	-80.360396370	716.7						
T	37.039962858	-80.370836431	697.6						
T	37.026775048	-80.375820198	709.1						
T	37.078995720	-80.336483628	773.9						
T	37.151475474	-80.289185662	601.1						
T	37.178057355	-80.271039245	498.0						
T	37.228911317	-80.236599806	462.4						
T	37.246159852	-80.224560947	476.9						
