type	latitude	longitude	altitude (ft)	name	desc	kml_folder
T	37.163603651	-80.312359707	1855.5			
T	37.192902256	-80.263664115	1804.0			
T	37.455795885	-79.909266114	1399.1			
T	37.494701339	-79.890839812	1350.9			
T	37.392538212	-80.105170591	1908.5			
T	37.251191417	-80.294426248	1497.9			
T	37.192732908	-80.330797993	1421.9			
T	37.295238332	-80.153997704	1844.1			
T	37.567661328	-79.860066908	1461.9			
T	37.353498442	-80.209113152	2148.8			
T	37.324252276	-80.245740580	2087.4			
T	37.294976122	-80.288454822	1778.3			
T	37.275442472	-80.318952348	1865.1			
T	37.255897260	-80.349431689	1586.2			
T	37.192515600	-80.397982102	2120.1			
T	37.202345365	-80.367493369	1593.5			
T	37.217030375	-80.337021146	1877.1			
T	37.236569395	-80.306578250	1593.8			
T	37.402319609	-80.013377447	1745.5			
T	37.577261843	-79.761849224	959.4			
T	37.616126465	-79.737168248	1018.5			
T	37.543334400	-79.860107724	1078.9			
T	37.523885465	-79.884670123	1100.7			
T	37.300183039	-80.080638703	1216.2			
T	37.275849284	-80.098960229	1143.5			
T	37.241778468	-80.123338643	1296.2			
T	37.217449265	-80.135490333	1664.6			
T	37.392556801	-79.866491293	1980.2			
T	37.411987911	-79.841967246	2209.0			
T	37.436285072	-79.823543465	1452.7			
T	37.455721130	-79.805113396	1400.5			
T	37.470282636	-79.786694077	1083.2			
T	37.446055575	-79.878652255	1374.1			
T	37.426616508	-79.903176747	1345.3			
T	37.402314555	-79.933808061	1831.4			
T	37.378015603	-79.958305330	1211.9			
T	37.353709274	-79.988909524	1593.5			
T	37.329394587	-80.013381444	1131.4			
T	37.305069644	-80.043955237	1105.7			
T	37.271020054	-80.050058459	1170.8			
T	37.295351138	-80.019497329	1123.1			
T	37.591609597	-79.669749788	1946.6			
T	37.334232865	-80.068427978	2500.9			
T	37.149104666	-80.275697874	1623.8			
T	37.523796017	-79.786544863	1334.8			
T	37.587047011	-79.786368249	1346.0			
T	37.567627697	-79.810968881	1467.1			
T	37.407182128	-80.001134989	2301.0			
T	37.373145362	-80.037854266	1296.4			
T	37.334224175	-80.080660697	2104.0			
T	37.105144534	-80.348686026	1864.8			
T	37.085673316	-80.354686560	2082.6			
T	37.251545616	-80.080589787	2230.9			
T	37.280756499	-80.031722956	999.4			
T	37.319671573	-79.988920244	1136.4			
T	37.353701052	-79.939967437	1107.6			
T	37.382851411	-79.897107389	1236.2			
T	37.416861494	-79.854205206	1646.8			
T	37.528536925	-79.731343140	990.8			
T	37.509212688	-79.792716388	1174.7			
T	37.251511730	-80.117253128	1292.7			
T	37.222296410	-80.147719021	2470.0			
T	37.134656439	-80.220688580	2098.4			
T	37.426558582	-79.823564604	1577.9			
T	37.688820135	-79.632431595	1640.1			
T	37.587134134	-79.860033146	1501.7			
T	37.553093234	-79.903036597	1477.7			
T	37.207627256	-80.196550428	1792.1			
T	37.227219574	-80.092760551	2174.4			
T	37.251565325	-80.050036518	1128.7			
